,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,California College Promise - Method A-2 based on SSI recipient status,43,59,"$11,504",45,68,"$13,338",46,73,"$12,060",37,55,"$8,460",40,69,"$11,040",43,69,"$12,531",23,37,"$5,551",17,28,"$4,782",7,11,"$4,025",14,23,"$7,130",11,18,"$4,738",10,14,"$3,818",8,14,"$3,036",7,8,"$1,886",5,8,"$2,783",7,11,"$3,036",6,6,$782,7,10,"$2,300",3,3,$644,5,8,"$1,610",1,2,$276
,,California College Promise - Method A-3 based on general assistance recipient status,2,3,$481,2,2,$312,1,1,$0,1,2,$280,8,13,"$3,060",8,9,"$1,304",1,1,$104,2,2,$554,4,9,"$2,967",1,1,$92,,,,,,,3,4,"$1,357",1,1,$92,1,1,$184,,,,,,,1,2,"$1,035",1,1,$414,2,2,$506,1,3,"$1,978"
,,California College Promise - Method B based on income standards,"1,990","3,229","$710,759","1,929","3,141","$709,332","1,920","3,130","$644,535","1,991","3,212","$587,930","2,324","3,761","$699,725","3,299","5,390","$1,261,879","4,066","6,763","$1,591,785","4,646","7,773","$2,444,879","4,491","7,477","$3,184,810","4,718","7,946","$3,337,875","4,849","8,255","$3,442,985","4,936","8,411","$3,452,898","4,797","8,146","$3,332,493","4,612","7,925","$3,255,213","4,629","7,763","$3,099,389","4,393","7,299","$2,807,028","4,579","7,443","$2,872,861","4,006","6,414","$2,468,489","3,773","5,977","$2,362,779","4,105","6,598","$2,626,602","3,263","4,536","$1,701,150"
,,California College Promise - Method C based on financial need,"1,535","2,608","$650,714","1,632","2,803","$708,695","1,644","2,798","$609,949","1,650","2,757","$551,830","2,058","3,435","$669,165","2,116","3,496","$839,734","1,976","3,271","$798,356","2,604","4,406","$1,470,111","2,777","4,692","$2,072,162","3,028","5,169","$2,231,138","3,225","5,472","$2,353,360","3,321","5,716","$2,423,303","3,351","5,718","$2,410,331","3,342","5,865","$2,465,945","3,537","6,037","$2,530,598","3,578","5,988","$2,408,400","4,289","7,021","$2,806,994","3,977","6,454","$2,540,040","4,027","6,506","$2,619,712","4,646","7,560","$3,135,545","6,560","10,333","$4,261,591"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$276,,,,1,1,$46,2,3,$598,1,1,$184,2,3,$736
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,496,"$333,201",520,827,"$512,601",862,"1,551","$1,004,433","1,085","2,037","$1,260,136","1,354","2,573","$1,628,170","1,714","3,200","$1,967,926","1,842","3,352","$2,033,982"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$1,334",1,1,$138,1,1,$138,3,5,"$1,886",3,6,"$1,978",2,4,"$1,058",,,,,,,1,2,"$1,150"
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,,,,58,101,"$23,494",70,123,"$26,700",78,135,"$28,120",88,150,"$38,037",95,164,"$44,278",78,138,"$45,814",59,106,"$50,646",67,119,"$53,728",87,150,"$63,641",79,144,"$64,285",86,164,"$77,901",94,175,"$82,409",99,184,"$83,674",103,186,"$78,568",101,168,"$69,299",72,122,"$50,232",74,111,"$44,068",73,110,"$44,275",63,100,"$44,091"
,,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,$138,1,2,$184,1,1,$230,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,859,"2,290","$2,306,251",904,"2,375","$2,410,375",880,"2,274","$2,342,744",926,"2,348","$2,696,306","1,082","2,835","$3,546,702","1,553","4,112","$5,630,811","2,141","4,895","$7,585,318","3,202","6,847","$10,683,201","2,996","6,793","$10,488,923","3,024","7,195","$11,022,685","3,402","8,203","$12,327,128","3,188","8,826","$12,268,095","3,161","9,000","$11,955,318","3,281","10,461","$13,870,107","3,139","10,478","$14,380,350","3,454","11,162","$15,625,799","4,383","14,113","$18,018,760","7,691","23,098","$27,800,007","3,250","11,352","$18,629,944","3,660","14,435","$23,670,059","3,944","14,963","$26,408,293"
,,Academic Competitiveness Grant,,,,,,,11,18,"$8,306",26,48,"$22,675",102,164,"$72,775",133,227,"$99,044",119,205,"$88,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,"$42,000",19,31,"$63,750",33,54,"$123,000",20,31,"$64,500"
,,Cal Grant B,190,323,"$227,713",168,297,"$208,316",178,320,"$226,049",168,290,"$202,891",186,331,"$229,164",203,358,"$255,333",220,392,"$279,567",344,631,"$444,286",416,760,"$505,613",538,981,"$660,287",607,"1,090","$813,906",640,"1,130","$846,670",665,"1,183","$885,584",782,"1,391","$1,063,418",724,"1,297","$999,863",706,"1,264","$1,175,739",732,"1,295","$1,156,632","1,234","2,108","$1,759,988","1,333","2,287","$2,006,449","1,541","2,675","$2,351,627","1,619","2,801","$2,538,683"
,,Cal Grant C,21,35,"$9,288",21,38,"$9,432",21,35,"$8,424",9,15,"$3,600",6,11,"$2,736",15,27,"$6,552",21,38,"$9,863",20,34,"$7,632",19,30,"$6,604",19,36,"$7,873",13,25,"$6,022",11,17,"$4,039",7,14,"$3,353",19,32,"$14,765",17,28,"$12,171",16,27,"$17,350",12,21,"$14,157",5,6,"$2,779",,,,,,,10,17,"$18,965"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,"$2,800",,,,,,,,,,39,39,"$3,783"
,,CARE Grant,13,31,"$14,050",9,15,"$10,500",12,25,"$14,895",12,25,"$13,582",15,22,"$13,030",8,14,"$5,632",8,14,"$7,000",12,16,"$10,726",13,22,"$9,470",17,20,"$7,000",18,32,"$7,396",19,46,"$19,708",21,29,"$8,850",24,42,"$11,250",21,46,"$12,024",22,47,"$16,020",17,35,"$20,586",21,44,"$19,400",26,54,"$30,100",23,47,"$26,800",23,51,"$70,565"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,030","3,035","$2,573,000","7,435","11,812","$12,016,650",8,8,"$7,500",,,,,,
,,Chafee Grant,,,,,,,,,,12,23,"$51,600",8,13,"$30,855",7,12,"$27,762",,,,,,,14,24,"$59,802",11,18,"$44,653",10,15,"$40,000",,,,13,13,"$52,411",15,20,"$46,789",14,19,"$44,833",12,19,"$49,996",8,11,"$30,000",9,11,"$47,000",14,20,"$50,581",19,22,"$45,253",9,13,"$32,500"
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"$3,320",,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,"$89,000",,,,,,,,,,,,
,,EOPS Grant,81,81,"$18,873",61,61,"$30,500",65,65,"$10,020",73,73,"$9,855",90,90,"$10,120",57,57,"$10,773",,,,94,95,"$29,892",157,192,"$20,280",186,247,"$56,405",288,410,"$63,007",343,593,"$167,772",430,820,"$181,990",439,809,"$207,337",426,824,"$159,394",458,897,"$282,879",364,681,"$260,000",357,667,"$217,470",397,721,"$197,620",526,"1,015","$343,538",693,"1,320","$528,737"
,,Equity Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,71,"$148,200",,,,,,,,,,,,
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,818,"$245,400",504,861,"$258,300",638,"1,083","$541,500",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,"$10,000",,,,,,,,,
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,285,"$141,700",244,352,"$331,000",158,181,"$162,807",126,205,"$182,900",111,176,"$259,970",102,210,"$306,901",68,122,"$197,000"
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,767,"$476,041","1,036","1,077","$998,914",85,86,"$65,250",,,,18,37,"$38,516",172,210,"$130,152"
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,347,"$223,036",,,,,,,,,,1,1,$500,159,162,"$379,259","1,382","1,464","$1,117,357",50,50,"$20,877"
,,Pell Grant,839,"1,490","$1,946,939",883,"1,585","$2,050,228",861,"1,548","$2,007,725",911,"1,629","$2,327,534","1,069","1,802","$3,079,905","1,542","2,879","$5,080,469","2,136","3,728","$7,060,867","3,192","5,482","$10,013,965","2,985","5,171","$9,708,973","3,005","5,383","$10,144,473","3,353","5,991","$11,268,989","3,124","5,568","$10,853,730","3,033","5,368","$10,422,625","3,113","5,943","$11,603,262","2,935","5,629","$11,126,869","2,940","5,649","$11,413,142","2,649","5,160","$10,538,877","2,896","5,527","$11,395,291","2,992","5,736","$12,342,611","3,155","6,315","$14,891,226","3,712","7,561","$18,755,922"
,,SEOG (Supplemental Educational Opportunity Grant),188,330,"$89,388",215,379,"$101,399",159,263,"$67,325",144,245,"$64,569",229,402,"$108,117",300,538,"$145,246",294,518,"$139,355",325,589,"$176,700",353,594,"$178,181",282,510,"$101,994",370,640,"$127,808",377,654,"$130,776",411,712,"$142,205",446,794,"$158,750",673,"1,127","$224,941",580,"1,011","$206,063",829,"1,227","$307,659",737,"1,263","$308,238",543,822,"$204,888",475,797,"$203,398",642,"1,134","$340,993"
,,State Emergency Aid (AB540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,80,"$156,500",23,23,"$22,852"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633,"1,223","$1,658,555",606,"1,129","$1,657,569",623,"1,173","$1,712,808",886,"1,345","$1,732,541",806,"1,335","$3,087,216","1,137","1,719","$4,065,943","1,169","1,591","$3,682,764"
,Loans Total,,293,742,"$1,389,390",305,821,"$1,616,626",281,730,"$1,414,183",271,699,"$1,543,179",352,937,"$2,373,915",392,"1,029","$2,500,821",391,"1,135","$2,665,216",585,"1,652","$3,683,279",449,"1,179","$2,488,997",294,829,"$1,713,984",351,"1,055","$2,165,408",313,869,"$1,781,605",270,761,"$1,635,549",211,601,"$1,295,456",215,638,"$1,462,538",190,549,"$1,191,578",118,338,"$857,265",123,379,"$921,816",140,424,"$1,039,183",152,448,"$1,060,734",175,548,"$1,435,110"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,368,627,"$1,336,912",530,876,"$1,755,945",408,667,"$1,260,488",267,458,"$852,852",313,535,"$988,161",285,460,"$861,352",240,404,"$740,596",188,318,"$601,643",189,324,"$658,583",177,286,"$571,169",105,172,"$381,614",113,187,"$392,930",128,211,"$441,971",144,224,"$475,610",157,270,"$567,385"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,290,499,"$1,265,281",464,766,"$1,853,478",307,507,"$1,198,342",208,359,"$793,669",299,509,"$1,140,304",247,405,"$901,463",199,347,"$841,896",164,273,"$655,579",174,301,"$739,655",158,259,"$600,986",102,166,"$475,651",111,186,"$492,563",122,200,"$510,765",137,215,"$529,676",150,260,"$695,287"
,,Other loan: non-institutional source,9,17,"$78,310",15,29,"$127,251",3,5,"$18,445",,,,,,,9,17,"$71,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,"$103,725"
,,PLUS loan: parent loan for undergraduate student,4,6,"$15,373",9,16,"$105,202",18,33,"$184,754",10,20,"$96,511",13,25,"$135,320",,,,5,9,"$63,023",5,10,"$73,856",3,5,"$30,167",6,12,"$67,463",7,11,"$36,943",2,4,"$18,790",6,10,"$53,057",6,10,"$38,234",8,13,"$64,300",2,4,"$19,423",,,,4,6,"$36,323",7,13,"$86,447",6,9,"$55,448",5,9,"$68,713"
,,"Stafford Loan, subsidized",260,446,"$745,666",275,477,"$787,565",244,422,"$676,021",237,408,"$847,478",303,515,"$1,099,068",363,613,"$1,334,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",165,273,"$550,041",178,299,"$596,608",159,270,"$534,963",157,271,"$599,190",237,397,"$1,139,527",234,399,"$1,094,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,,,,,,,,,,,,,40,73,"$46,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scholarship: non-institutional source,,,,,,,,,,,,,40,73,"$46,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Work Study Total,,57,84,"$89,731",50,85,"$92,804",40,69,"$78,314",36,65,"$80,969",67,115,"$129,356",56,122,"$124,743",49,95,"$117,210",50,50,"$125,175",73,73,"$189,088",48,48,"$130,227",64,64,"$176,317",47,47,"$172,814",60,60,"$210,897",61,61,"$209,866",60,60,"$198,503",53,53,"$229,889",23,23,"$109,533",33,33,"$116,737",42,42,"$180,317",40,40,"$209,895",46,46,"$251,140"
,,Federal Work Study (FWS) (Federal share),57,84,"$89,731",50,85,"$92,804",40,69,"$78,314",36,65,"$80,969",67,115,"$129,356",56,122,"$124,743",49,95,"$117,210",50,50,"$125,175",73,73,"$189,088",48,48,"$130,227",64,64,"$176,317",47,47,"$172,814",60,60,"$210,897",61,61,"$209,866",60,60,"$198,503",53,53,"$229,889",23,23,"$109,533",33,33,"$116,737",42,42,"$180,317",40,40,"$209,895",46,46,"$251,140"
Moreno Valley Total,,,,,,,,,,,,,,,,,,,,,"9,541","25,231","$17,004,429","8,391","21,453","$14,742,611","8,416","21,202","$15,365,611","9,037","23,886","$17,813,136","9,544","25,921","$19,299,112","9,423","26,151","$19,213,702","9,303","25,462","$17,587,348","9,784","28,452","$19,773,218","10,068","31,183","$21,670,737","10,663","31,349","$22,593,042","8,705","30,718","$21,188,963","9,171","31,028","$23,480,331","8,617","27,795","$22,255,904","9,451","27,098","$23,826,122","11,730","33,106","$29,303,361"
,California College Promise Grant Total,,,,,,,,,,,,,,,,,,,,"9,201","15,986","$2,704,725","8,042","13,488","$3,474,917","8,158","13,282","$4,498,065","8,791","15,162","$5,183,329","9,351","16,729","$5,657,844","9,226","16,572","$5,513,457","9,114","16,356","$5,229,341","9,595","17,264","$5,524,280","9,752","18,159","$5,749,042","10,290","19,041","$5,853,554","8,112","15,442","$4,655,206","6,995","12,815","$3,744,906","8,227","14,281","$4,201,834","9,196","16,451","$5,001,718","11,465","19,851","$5,674,491"
,,California College Promise - Method A-? (unknown base),,,,,,,,,,,,,,,,,,,117,230,"$35,802",74,134,"$34,421",93,142,"$53,383",117,194,"$67,764",109,198,"$71,668",101,192,"$67,367",102,166,"$56,235",82,153,"$49,887",91,150,"$47,150",84,164,"$51,382",45,95,"$29,693",37,60,"$16,077",46,79,"$21,344",40,76,"$25,185",53,101,"$30,314"
,,California College Promise - Method B based on income standards,,,,,,,,,,,,,,,,,,,"6,165","10,662","$1,809,639","5,403","9,039","$2,339,914","5,461","8,828","$2,969,634","5,959","10,258","$3,534,361","6,261","11,111","$3,789,864","6,151","11,029","$3,729,496","5,971","10,716","$3,455,326","6,486","11,536","$3,712,741","6,278","11,645","$3,711,142","6,382","11,656","$3,600,420","4,889","9,260","$2,821,117","4,242","7,741","$2,267,915","4,729","8,077","$2,403,454","5,301","9,351","$2,851,448","7,873","13,544","$3,868,025"
,,California College Promise - Method C based on financial need,,,,,,,,,,,,,,,,,,,"2,931","5,094","$859,284","2,567","4,315","$1,100,582","2,605","4,312","$1,475,048","2,718","4,710","$1,581,204","2,985","5,420","$1,796,312","2,979","5,351","$1,716,594","3,045","5,474","$1,717,780","3,037","5,575","$1,761,652","3,390","6,363","$1,990,709","3,828","7,218","$2,201,147","3,180","6,086","$1,804,212","2,717","5,014","$1,460,914","3,453","6,123","$1,776,106","3,856","7,024","$2,125,085","3,541","6,206","$1,776,152"
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,$41,2,3,$605,1,1,$184,,,,2,2,$930,,,,,,
,Grants Total,,,,,,,,,,,,,,,,,,,,"4,155","8,512","$12,986,032","3,529","7,178","$9,767,896","3,038","7,123","$9,298,939","3,396","7,785","$11,009,612","3,732","8,273","$12,074,614","3,484","8,587","$12,078,167","3,206","8,262","$11,015,816","3,416","9,668","$12,530,335","3,518","10,547","$14,122,077","3,529","10,572","$15,344,635","4,136","14,581","$15,705,850","5,825","17,656","$18,755,752","3,514","12,844","$16,893,141","3,216","9,758","$17,257,393","3,854","12,189","$21,926,067"
,,Academic Competitiveness Grant,,,,,,,,,,,,,,,,,,,6,12,"$6,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAFYES Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,64,"$43,220",,,,,,,,,,1,1,$600,2,3,"$1,800"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,"$4,500",3,6,"$12,000",16,27,"$65,250",12,18,"$39,750",19,27,"$61,500",9,14,"$34,500"
,,Cal Grant B,,,,,,,,,,,,,,,,,,,398,724,"$465,063",361,606,"$376,341",381,653,"$400,872",463,803,"$504,356",549,952,"$656,595",632,"1,108","$753,843",664,"1,159","$814,209",830,"1,436","$1,041,935",928,"1,615","$1,180,641","1,046","1,802","$1,857,163",905,"1,548","$1,604,267","1,058","1,701","$1,668,132",867,"1,429","$1,472,831","1,032","1,752","$1,727,624","1,360","2,284","$2,025,759"
,,Cal Grant C,,,,,,,,,,,,,,,,,,,67,116,"$25,881",44,74,"$16,344",59,94,"$20,293",67,108,"$23,265",72,106,"$22,621",40,73,"$16,454",35,54,"$11,636",26,42,"$18,465",47,74,"$34,737",44,76,"$69,974",43,74,"$87,684",20,29,"$29,580",12,17,"$17,610",7,10,"$4,489",82,137,"$129,384"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,125,"$10,074",77,103,"$5,188",45,54,"$3,673",23,23,"$2,350",16,22,"$3,525",36,55,"$5,825",38,53,"$2,800",54,89,"$11,700"
,,CARE Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,65,"$44,295",38,60,"$58,990",,,,20,20,"$9,750",29,33,"$16,250",30,30,"$15,000",49,76,"$48,281"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,861","2,486","$1,837,500","5,602","8,581","$7,265,600","2,622","2,622","$2,283,725",,,,,,
,,Chafee Grant,,,,,,,,,,,,,,,,,,,22,40,"$100,879",19,34,"$85,000",19,30,"$75,000",20,36,"$90,000",16,23,"$57,500",13,22,"$53,750",29,46,"$111,537",18,29,"$72,500",36,53,"$132,500",30,50,"$124,572",30,47,"$117,500",36,57,"$184,500",54,76,"$188,780",43,59,"$147,500",34,49,"$122,500"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,98,"$73,500",,,,,,,,,,,,,,,,,,,,,
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,"$2,472",1,2,"$1,656",2,3,"$2,505",1,1,$836,1,2,"$1,672",1,1,$836,,,,1,1,$824,1,2,"$1,648",1,2,"$1,648",,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,038","2,112","$713,080",67,67,"$25,104","2,236","2,236","$894,400",,,,,,
,,Dream Act Service Incentive Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"$4,500",,,
,,EOPS Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,333,"$138,975",2,2,$350,4,4,$750,,,,213,213,"$62,651",217,275,"$132,105",200,200,"$71,695",143,173,"$92,850"
,,Equity Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,205,"$101,000",,,,,,,7,8,$740,,,,1,1,$150
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,663,"$198,900",472,728,"$218,400",588,921,"$460,500",,,,,,,,,,,,,,,,,,,,,
,,Golden State Education and Training Grant Program (GSETGP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,"$35,000",15,15,"$37,500",,,,,,
,,Homeless and Housing Insecurity Program (HHIP) Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"$35,500",3,5,"$46,185"
,,Other grant: California College Promise (AB19) source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,767,"$206,057",1,1,$135,473,"1,184","$344,717",329,818,"$170,485",4,4,$313,262,331,"$54,152",129,143,"$21,606"
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,"$98,000",,,,,,,,,
,,Other grant: non-institutional source,,,,,,,,,,,,,,,,,,,146,150,"$10,950",16,26,"$8,068",281,438,"$59,968",350,530,"$88,250",314,314,"$52,840",2,2,$600,81,106,"$10,874",2,4,"$2,000",,,,,,,,,,1,1,$200,1,2,"$34,385",,,,25,48,"$185,292"
,,Pell Grant,,,,,,,,,,,,,,,,,,,"4,134","7,135","$12,241,374","3,518","5,735","$8,996,637","3,006","4,831","$8,319,740","3,338","5,529","$9,985,136","3,646","6,064","$10,944,937","3,443","5,903","$10,717,520","3,149","5,307","$9,514,466","3,301","5,673","$10,342,078","3,312","6,221","$11,163,094","3,272","6,232","$11,308,104","2,561","4,901","$9,116,912","2,276","4,134","$7,554,027","2,501","4,215","$8,709,019","2,973","5,343","$11,675,741","3,718","7,429","$16,256,029"
,,SEOG (Supplemental Educational Opportunity Grant),,,,,,,,,,,,,,,,,,,199,335,"$135,829",430,703,"$285,506",636,"1,077","$423,066",434,779,"$318,605",457,810,"$337,649",449,814,"$335,444",498,859,"$332,189",595,"1,006","$369,472",446,768,"$338,278",489,849,"$350,330",682,"1,164","$492,254",541,955,"$369,233",499,876,"$364,004",482,798,"$337,501",408,745,"$336,813"
,,State Emergency Aid (AB540),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,"$68,409",,,,,,
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,877,"$1,015,265",752,"1,171","$1,421,388",657,"1,036","$1,377,586",651,917,"$1,213,891",611,928,"$2,625,847",733,"1,147","$3,117,143",632,993,"$2,613,218"
,Loans Total,,,,,,,,,,,,,,,,,,,,258,537,"$1,088,815",254,562,"$1,230,716",253,540,"$1,161,533",235,547,"$1,166,684",218,511,"$1,072,240",199,529,"$1,100,060",169,421,"$884,036",163,437,"$994,795",148,413,"$933,678",99,271,"$614,520",56,161,"$369,801",50,140,"$314,880",91,234,"$519,348",100,296,"$668,691",117,362,"$792,972"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,252,444,"$823,513",245,430,"$834,422",243,406,"$793,713",229,394,"$744,372",212,346,"$653,625",194,323,"$618,491",159,259,"$497,728",153,247,"$466,282",142,231,"$433,988",92,148,"$287,842",50,85,"$158,169",47,75,"$149,167",86,128,"$247,007",100,165,"$322,472",116,195,"$379,652"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,49,93,"$265,302",71,132,"$396,294",76,134,"$367,820",89,153,"$422,312",100,165,"$418,615",126,206,"$481,569",97,162,"$386,308",114,190,"$528,513",109,182,"$499,690",78,123,"$326,678",45,76,"$211,632",41,65,"$165,713",71,106,"$272,341",79,131,"$346,219",101,167,"$413,320"
,Scholarship Total,,,,,,,,,,,,,,,,,,,,18,34,"$35,979",3,5,"$8,668",3,3,"$7,835",77,104,"$76,625",74,102,"$85,366",85,113,"$99,601",77,93,"$95,568",456,769,"$234,450",646,"1,722","$387,084",660,"1,165","$312,891",358,395,"$242,555",142,233,"$248,420",155,245,"$279,166",262,349,"$384,054",372,490,"$419,405"
,,Scholarship: institutional source,,,,,,,,,,,,,,,,,,,14,27,"$19,417",,,,,,,42,62,"$40,869",30,50,"$26,298",47,73,"$54,001",35,49,"$56,067",340,608,"$156,106",617,"1,682","$328,724",634,"1,124","$269,064",36,64,"$52,357",38,62,"$57,167",30,49,"$70,514",32,49,"$101,885",48,79,"$98,195"
,,Scholarship: non-institutional source,,,,,,,,,,,,,,,,,,,3,5,"$12,024",1,1,$947,3,3,"$7,835",37,42,"$35,756",44,52,"$59,068",38,40,"$45,600",42,44,"$39,501",127,161,"$78,344",36,40,"$58,360",36,41,"$43,827",328,331,"$190,198",107,171,"$191,253",134,196,"$208,652",238,300,"$282,169",336,411,"$321,210"
,,Scholarship: source unknown,,,,,,,,,,,,,,,,,,,1,2,"$4,538",2,4,"$7,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Work Study Total,,,,,,,,,,,,,,,,,,,,85,162,"$188,878",111,220,"$260,414",147,254,"$399,239",153,288,"$376,886",165,306,"$409,048",180,350,"$422,417",175,330,"$362,587",186,314,"$489,358",176,342,"$478,856",152,300,"$467,442",72,139,"$215,551",95,184,"$416,373",97,191,"$362,415",132,244,"$514,266",109,214,"$490,426"
